profile_id,business_name,category,subcategory,minimum_capital,typical_project_cost,expected_monthly_revenue,expected_monthly_expenses,expected_profit_margin,typical_break_even_months,resource_requirements,infrastructure_requirements,risk_factors,data_source,created_at,updated_at
BRP001,Bakery Products Unit,Food Processing,Bakery,,286000,71916.67,57500,20.05,,Flour; ingredients; packaging; labour,500 sq ft shed; oven; bakery equipment,Perishability; food safety; ingredient prices,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BAKERY%20PRODUCTS%20UNIT.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices. Monthly expense is calculated from the raw-material, packing and wage costs explicitly stated in the KVIC profile; other overheads may not be included.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP002,Pickle Manufacturing Unit,Food Processing,Pickles,,514000,82166.67,,,,Fruits/vegetables; spices; packaging; labour,1000 sq ft shed; washing; sealing; processing vessels,Seasonal inputs; contamination; distribution,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PICKLE%20MANUFACTURING%20SCHEME.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP003,Wheat Flour Mill Unit,Food Processing,Flour Milling,,885000,476500,,,,Wheat; packaging; labour,750 sq ft shed; grinder; sieves; packing equipment,Commodity volatility; machine downtime; competition,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WHEAT%20MILL%20UNIT.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP004,Aluminium Furniture Unit,Manufacturing,Furniture,,400000,111633.33,,,,Aluminium; fasteners; packing; skilled labour,Shearing; bending; drilling; grinding equipment,Material prices; competition; maintenance,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20ALUMINIUM%20FURNITURE.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP005,Pottery Products Unit,Rural Manufacturing,Pottery,,250000,,,,,Clay; finishing materials; labour,Pottery workspace; tools and equipment,Breakage; skill dependency; demand variation,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Potteryproducts.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP006,Consumer Electronics Repair,Services,Electronics Repair,,300000,65000,,,,Technician; spare parts; diagnostic tools,Repair shop; electronics tools,Technology obsolescence; spare parts; competition,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20%20PROFILE%20%20ON%20%20REPAIRS%20%26%20%20MAINTENANCE%20%20OF%20CONSUMER%20%20ELECTRONIC%20PRODUCTS.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP007,Spice Grinding Unit,Food Processing,Spice Processing,,,,,,,Whole spices; packaging; labour,Grinding equipment; hygienic storage,Contamination; quality; input-price volatility,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SpiceGrindingUnit.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP008,Mushroom Cultivation and Processing,Agriculture Allied,Mushroom,,,,,,,Substrate; spawn; packaging; labour,Controlled environment; humidity/temperature control,Contamination; climate control; shelf life,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MushroomProcessing.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP009,Beauty Parlour,Services,Personal Care,,,,,,,Trained beautician; cosmetics; consumables,Salon workspace; hygiene facilities; equipment,Competition; skill dependency; preference changes,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BeautyParlour.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP010,Honey Bee Farming,Agriculture Allied,Beekeeping,,,,,,,Bee colonies; hives; trained operator,Apiary locations; extraction/storage equipment,Disease; weather; colony loss,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HoneyBeeFarming.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP011,Vermicompost Production,Agriculture Allied,Organic Inputs,,865000,81975,163716.83,6.45,31,Organic waste; earthworms; labour,1900 sq ft shed; sieving; cutter/blender; breeder boxes,Feedstock quality; climate; market demand,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20PRODUCTION%20OF%20VERMICOMPOST%202.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices. Uses first-year total cost, return on sales and official payback period of 2 years 6 months 7 days from KVIC profile.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP012,Toilet Soap Manufacturing,Manufacturing,Personal Care Products,,2500000,562500,,,,Non-edible oils; chemicals; packaging,1200 sq ft shed; soap processing machinery,Chemical handling; compliance; input prices,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20TOILET%20SOAP.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP013,Face Cream and Cleansing Lotion,Manufacturing,Cosmetics,,2366000,1052770,,,,Cosmetic raw materials; tubes/packs,Steam-jacketed kettles; filling/sealing; lab equipment,Quality compliance; formulation; competition,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20FACE%20CREAM%20AND%20CLEANSING%20LOTION.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP014,Steel Trunks Manufacturing,Manufacturing,Metal Products,,572000,177390,,,,GP sheets; fittings; labour,Shearing; swaging/bending; folding machines,Steel prices; safety; competition,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20STEEL%20TRUNKS.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
